ID,STIX ID,name,description,url,created,last modified,domain,version,relationship citations
M1036,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,21 October 2022,enterprise-attack,1.0,"(Citation: Okta Block Anonymizing Services),(Citation: Google Workspace Apps Script Restrict OAuth Scopes),(Citation: AWS Data Perimeters),(Citation: Microsoft Developer Support Power Apps Conditional Access),(Citation: Microsoft Common Conditional Access Policies)"
M1015,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,Active Directory Configuration,"Implement robust Active Directory configurations using group policies to control access and reduce the attack surface. Specific examples include:

* Account Configuration: Use provisioned domain accounts rather than local accounts to leverage centralized control and auditing capabilities.
* Interactive Logon Restrictions: Enforce group policies that prohibit interactive logons for accounts that should not directly access systems.
* Remote Desktop Settings: Limit Remote Desktop logons to authorized accounts to prevent misuse by adversaries.
* Dedicated Administrative Accounts: Create specialized domain-wide accounts that are restricted from interactive logons but can perform specific tasks like installations or repository access.
* Authentication Silos: Configure Authentication Silos in Active Directory to create access zones with restrictions based on membership in the Protected Users global security group. This setup enhances security by applying additional protections to high-risk accounts, limiting their exposure to potential attacks.",https://attack.mitre.org/mitigations/M1015,06 June 2019,08 October 2024,enterprise-attack,1.2,"(Citation: AdSecurity DCSync Sept 2015),(Citation: Microsoft Netdom Trust Sept 2012),(Citation: Microsoft MS14-025),(Citation: SpecterOps Certified Pre Owned),(Citation: ADSecurity Mimikatz DCSync),(Citation: Microsoft Protected Users Security Group),(Citation: ADSecurity Kerberos and KRBTGT),(Citation: STIG krbtgt reset),(Citation: Microsoft Replication ACL),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: Mandiant Defend UNC2452 White Paper),(Citation: AdSecurity Kerberos GT Aug 2015)"
M1049,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: SourceForge rkhunter),(Citation: Chkrootkit Main),(Citation: Anomali Template Injection MAR 2018),(Citation: Microsoft File Folder Exclusions),(Citation: Mandiant Cloudy Logs 2023),(Citation: Microsoft AMSI June 2015)"
M1013,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,27 September 2023,"enterprise-attack,mobile-attack",1.1,"(Citation: Comparitech Replay Attack),(Citation: Bugcrowd Replay Attack),(Citation: Microsoft Token Protection 2023),(Citation: Cider Security Top 10 CICD Security Risks),(Citation: Apple Developer Doco Hardened Runtime),(Citation: Okta DPoP 2023),(Citation: FireEye DLL Side-Loading),(Citation: Apple App Security Overview)"
M1048,course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Ars Technica Pwn2Own 2017 VM Escape),(Citation: Microsoft Protected View),(Citation: Kubernetes Hardening Guide)"
M1047,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,17 October 2024,enterprise-attack,1.2,"(Citation: Microsoft CreateProcess),(Citation: TCC macOS bypass),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Microsoft Sxstrace),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: FireEye ADFS),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: Brining MimiKatz to Unix),(Citation: Mandiant Cloudy Logs 2023),(Citation: Powersploit),(Citation: Secureworks - AT.exe Scheduled Task),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft Manage Mail Flow Rules 2023),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Mandiant Azure AD Backdoors),(Citation: GitHub Bloodhound),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: Microsoft Preauthentication Jul 2012),(Citation: GitHub Certify),(Citation: audits linikatz),(Citation: Amazon S3 Security, 2019),(Citation: MagicWeb),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Microsoft Get-InboxRule),(Citation: Microsoft Dynamic-Link Library Security),(Citation: Vulnerability and Exploit Detector),(Citation: SpecterOps Certified Pre Owned),(Citation: AWS Management Account Best Practices),(Citation: Github UACMe),(Citation: GitHub PSPKIAudit),(Citation: AWS DB VPC),(Citation: Kifarunix - Task Scheduling in Linux)"
M1040,course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: Enigma Reviving DDE Jan 2018),(Citation: Microsoft ASR Nov 2017),(Citation: Malicious Driver Reporting Center),(Citation: Microsoft_rec_block_rules),(Citation: Microsoft ASR Obfuscation),(Citation: Obfuscated scripts),(Citation: win10_asr),(Citation: Microsoft driver block rules)"
M1046,course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,enterprise-attack,1.0,"(Citation: ESET LoJax Sept 2018),(Citation: TCG Trusted Platform Module),(Citation: TechNet Secure Boot Process),(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: Cisco IOS Software Integrity Assurance - Secure Boot),(Citation: Intel Hardware-based Security Technologies)"
M1045,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: Microsoft Learn ClickOnce and Authenticode),(Citation: Content trust in Docker),(Citation: applescript signing),(Citation: Content trust in Azure Container Registry),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS)"
M1043,course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,17 October 2024,enterprise-attack,1.1,"(Citation: GitHub SHB Credential Guard),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: Microsoft Credential Guard April 2017),(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: TechNet Credential Guard),(Citation: Brining MimiKatz to Unix)"
M1053,course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19 July 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Ready.gov IT DRP),(Citation: Unit 42 Palo Alto Ransomware in Public Clouds 2022),(Citation: Rhino S3 Ransomware Part 2)"
M1057,course-of-action--65401701-019d-44ff-b223-08d520bb0e7b,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)",https://attack.mitre.org/mitigations/M1057,04 August 2021,30 August 2021,enterprise-attack,1.0,"(Citation: Microsoft Purview Data Loss Prevention),(Citation: Google Workspace Data Loss Prevention)"
